,Day,Name,Trades,Type
15,16,Iron Man,31,Currency
16,17,Iron Man,33,Currency
17,18,Iron Man,24,Currency
18,19,Iron Man,21,Currency
19,20,Iron Man,29,Currency
20,21,Iron Man,24,Currency
21,22,Iron Man,29,Currency
22,23,Iron Man,24,Currency
23,24,Iron Man,25,Currency
24,25,Iron Man,22,Currency
25,26,Iron Man,25,Currency
26,27,Iron Man,25,Currency
27,28,Iron Man,17,Currency
28,29,Iron Man,20,Currency
29,30,Iron Man,19,Currency
30,31,Iron Man,26,Currency
31,32,Iron Man,22,Currency
32,33,Iron Man,28,Currency
33,34,Iron Man,17,Currency
34,35,Iron Man,26,Currency
35,36,Iron Man,22,Currency
36,37,Iron Man,27,Currency
37,38,Iron Man,25,Currency
38,39,Iron Man,18,Currency
39,40,Iron Man,18,Currency
40,41,Iron Man,23,Currency
41,42,Iron Man,22,Currency
42,43,Iron Man,26,Currency
43,44,Iron Man,26,Currency
44,45,Iron Man,26,Currency
45,46,Iron Man,20,Currency
46,47,Iron Man,22,Currency
47,48,Iron Man,21,Currency
48,49,Iron Man,28,Currency
49,50,Iron Man,28,Currency
50,51,Iron Man,25,Currency
51,52,Iron Man,35,Currency
52,53,Iron Man,22,Currency
53,54,Iron Man,32,Currency
54,55,Iron Man,27,Currency
55,56,Iron Man,26,Currency
56,57,Iron Man,7,Currency
57,58,Iron Man,32,Currency
58,59,Iron Man,22,Currency
59,60,Iron Man,25,Currency
60,61,Iron Man,22,Currency
61,62,Iron Man,27,Currency
62,63,Iron Man,24,Currency
63,64,Iron Man,24,Currency
64,65,Iron Man,23,Currency
65,66,Iron Man,20,Currency
66,67,Iron Man,26,Currency
67,68,Iron Man,22,Currency
68,69,Iron Man,35,Currency
69,70,Iron Man,25,Currency
70,71,Iron Man,25,Currency
71,72,Iron Man,25,Currency
72,73,Iron Man,19,Currency
73,74,Iron Man,23,Currency
74,75,Iron Man,32,Currency
75,76,Iron Man,15,Currency
76,77,Iron Man,27,Currency
77,78,Iron Man,30,Currency
78,79,Iron Man,23,Currency
79,80,Iron Man,20,Currency
80,81,Iron Man,17,Currency
81,82,Iron Man,27,Currency
82,83,Iron Man,20,Currency
83,84,Iron Man,19,Currency
84,85,Iron Man,21,Currency
85,86,Iron Man,22,Currency
86,87,Iron Man,21,Currency
87,88,Iron Man,27,Currency
88,89,Iron Man,20,Currency
89,90,Iron Man,27,Currency
90,91,Iron Man,22,Currency
91,92,Iron Man,22,Currency
92,93,Iron Man,24,Currency
93,94,Iron Man,23,Currency
94,95,Iron Man,27,Currency
95,96,Iron Man,27,Currency
96,97,Iron Man,27,Currency
97,98,Iron Man,28,Currency
98,99,Iron Man,19,Currency
99,100,Iron Man,23,Currency
0,1,Captain America,98,Currency
1,2,Captain America,92,Currency
2,3,Captain America,102,Currency
3,4,Captain America,103,Currency
4,5,Captain America,96,Currency
5,6,Captain America,128,Currency
6,7,Captain America,79,Currency
7,8,Captain America,117,Currency
8,9,Captain America,103,Currency
9,10,Captain America,95,Currency
10,11,Captain America,111,Currency
11,12,Captain America,90,Currency
12,13,Captain America,91,Currency
13,14,Captain America,87,Currency
14,15,Captain America,104,Currency
15,16,Captain America,118,Currency
16,17,Captain America,88,Currency
17,18,Captain America,113,Currency
18,19,Captain America,89,Currency
19,20,Captain America,98,Currency
20,21,Captain America,113,Currency
21,22,Captain America,85,Currency
22,23,Captain America,96,Currency
23,24,Captain America,92,Currency
24,25,Captain America,98,Currency
25,26,Captain America,112,Currency
26,27,Captain America,101,Currency
27,28,Captain America,96,Currency
28,29,Captain America,89,Currency
29,30,Captain America,101,Currency
30,31,Captain America,100,Currency
31,32,Captain America,95,Currency
32,33,Captain America,112,Currency
33,34,Captain America,105,Currency
34,35,Captain America,117,Currency
35,36,Captain America,118,Currency
36,37,Captain America,66,Currency
37,38,Captain America,104,Currency
38,39,Captain America,113,Currency
39,40,Captain America,91,Currency
40,41,Captain America,86,Currency
41,42,Captain America,103,Currency
42,43,Captain America,111,Currency
43,44,Captain America,89,Currency
44,45,Captain America,107,Currency
45,46,Captain America,93,Currency
46,47,Captain America,98,Currency
47,48,Captain America,95,Currency
48,49,Captain America,96,Currency
49,50,Captain America,102,Currency
50,51,Captain America,98,Currency
51,52,Captain America,83,Currency
52,53,Captain America,93,Currency
53,54,Captain America,87,Currency
54,55,Captain America,105,Currency
55,56,Captain America,83,Currency
56,57,Captain America,86,Currency
57,58,Captain America,82,Currency
58,59,Captain America,92,Currency
59,60,Captain America,97,Currency
60,61,Captain America,89,Currency
61,62,Captain America,112,Currency
62,63,Captain America,105,Currency
63,64,Captain America,95,Currency
64,65,Captain America,79,Currency
65,66,Captain America,100,Currency
66,67,Captain America,127,Currency
67,68,Captain America,111,Currency
68,69,Captain America,93,Currency
69,70,Captain America,96,Currency
70,71,Captain America,125,Currency
71,72,Captain America,91,Currency
72,73,Captain America,77,Currency
73,74,Captain America,114,Currency
74,75,Captain America,98,Currency
75,76,Captain America,111,Currency
76,77,Captain America,109,Currency
77,78,Captain America,112,Currency
78,79,Captain America,93,Currency
79,80,Captain America,86,Currency
80,81,Captain America,96,Currency
81,82,Captain America,83,Currency
82,83,Captain America,113,Currency
83,84,Captain America,107,Currency
84,85,Captain America,102,Currency
85,86,Captain America,88,Currency
86,87,Captain America,119,Currency
87,88,Captain America,104,Currency
88,89,Captain America,110,Currency
89,90,Captain America,105,Currency
90,91,Captain America,87,Currency
91,92,Captain America,116,Currency
92,93,Captain America,94,Currency
93,94,Captain America,103,Currency
94,95,Captain America,89,Currency
95,96,Captain America,88,Currency
96,97,Captain America,94,Currency
97,98,Captain America,98,Currency
98,99,Captain America,97,Currency
99,100,Captain America,108,Currency
0,1,Black Widow,6,Stocks
1,2,Black Widow,13,Stocks
2,3,Black Widow,12,Stocks
3,4,Black Widow,10,Stocks
4,5,Black Widow,14,Stocks
5,6,Black Widow,8,Stocks
6,7,Black Widow,11,Stocks
7,8,Black Widow,7,Stocks
8,9,Black Widow,17,Stocks
9,10,Black Widow,10,Stocks
10,11,Black Widow,8,Stocks
11,12,Black Widow,10,Stocks
12,13,Black Widow,8,Stocks
13,14,Black Widow,16,Stocks
14,15,Black Widow,12,Stocks
15,16,Black Widow,10,Stocks
16,17,Black Widow,10,Stocks
17,18,Black Widow,9,Stocks
18,19,Black Widow,10,Stocks
19,20,Black Widow,13,Stocks
20,21,Black Widow,11,Stocks
21,22,Black Widow,18,Stocks
22,23,Black Widow,8,Stocks
23,24,Black Widow,13,Stocks
24,25,Black Widow,14,Stocks
25,26,Black Widow,8,Stocks
26,27,Black Widow,13,Stocks
27,28,Black Widow,12,Stocks
28,29,Black Widow,15,Stocks
29,30,Black Widow,17,Stocks
30,31,Black Widow,13,Stocks
31,32,Black Widow,16,Stocks
32,33,Black Widow,14,Stocks
33,34,Black Widow,15,Stocks
34,35,Black Widow,14,Stocks
35,36,Black Widow,17,Stocks
36,37,Black Widow,13,Stocks
37,38,Black Widow,12,Stocks
38,39,Black Widow,11,Stocks
39,40,Black Widow,10,Stocks
40,41,Black Widow,13,Stocks
41,42,Black Widow,13,Stocks
42,43,Black Widow,15,Stocks
43,44,Black Widow,10,Stocks
44,45,Black Widow,12,Stocks
45,46,Black Widow,13,Stocks
46,47,Black Widow,7,Stocks
47,48,Black Widow,7,Stocks
48,49,Black Widow,6,Stocks
49,50,Black Widow,6,Stocks
50,51,Black Widow,12,Stocks
51,52,Black Widow,15,Stocks
52,53,Black Widow,16,Stocks
53,54,Black Widow,16,Stocks
54,55,Black Widow,9,Stocks
55,56,Black Widow,16,Stocks
56,57,Black Widow,11,Stocks
57,58,Black Widow,9,Stocks
58,59,Black Widow,13,Stocks
59,60,Black Widow,15,Stocks
60,61,Black Widow,9,Stocks
61,62,Black Widow,15,Stocks
62,63,Black Widow,8,Stocks
63,64,Black Widow,7,Stocks
64,65,Black Widow,13,Stocks
65,66,Black Widow,10,Stocks
66,67,Black Widow,19,Stocks
67,68,Black Widow,11,Stocks
68,69,Black Widow,9,Stocks
69,70,Black Widow,13,Stocks
70,71,Black Widow,10,Stocks
71,72,Black Widow,14,Stocks
72,73,Black Widow,16,Stocks
73,74,Black Widow,7,Stocks
74,75,Black Widow,11,Stocks
75,76,Black Widow,14,Stocks
76,77,Black Widow,18,Stocks
77,78,Black Widow,15,Stocks
78,79,Black Widow,12,Stocks
79,80,Black Widow,12,Stocks
80,81,Black Widow,10,Stocks
81,82,Black Widow,13,Stocks
82,83,Black Widow,16,Stocks
83,84,Black Widow,12,Stocks
84,85,Black Widow,11,Stocks
85,86,Black Widow,13,Stocks
86,87,Black Widow,8,Stocks
87,88,Black Widow,7,Stocks
88,89,Black Widow,14,Stocks
89,90,Black Widow,12,Stocks
90,91,Black Widow,11,Stocks
91,92,Black Widow,13,Stocks
92,93,Black Widow,12,Stocks
93,94,Black Widow,20,Stocks
94,95,Black Widow,3,Stocks
95,96,Black Widow,10,Stocks
96,97,Black Widow,11,Stocks
97,98,Black Widow,12,Stocks
98,99,Black Widow,11,Stocks
99,100,Black Widow,9,Stocks
